STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,LABOUR_FORCE_STATUS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,DEU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,7.50725716872912,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,DEU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,7.80921260239398,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,DEU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,7.94917508833724,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,GRC,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,8.31524286867502,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,GRC,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,8.22934291788747,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,GRC,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,7.93470553630636,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,IRL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,4.22372532635162,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,IRL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.34781318468446,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,IRL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,4.40990316367496,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,ITA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,8.49320256052672,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,ITA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,8.51892274428017,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,ITA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,8.60856959123074,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LVA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,6.67880669017361,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LVA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,7.02896437670729,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LVA,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,7.03234103285084,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LTU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,4.79953279175163,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LTU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.93686037776494,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LTU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,4.99217436384353,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LUX,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.76279615266357,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LUX,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,3.37909332061993,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,LUX,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,3.53169243981722,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,NOR,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,2.70397009362714,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,NOR,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,7.75580429513471,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,NOR,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,4.37114375260193,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,POL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,4.91627219244041,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,POL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.85942489304774,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,POL,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,4.74787453960318,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,SVN,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,5.6260802498432,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,SVN,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,5.3475632694588,,A,,,,1,
